"","Data","Fechamento"
"415","31/01/2020",118.793
"416","30/01/2020",120.493
"417","29/01/2020",120.472
"418","28/01/2020",121.62
"419","27/01/2020",119.555
"420","24/01/2020",123.576
"421","23/01/2020",124.978
"422","22/01/2020",123.654
"423","21/01/2020",122.261
"424","20/01/2020",124.227
"425","17/01/2020",123.925
"426","16/01/2020",122.058
"427","15/01/2020",121.823
"428","14/01/2020",122.997
"429","13/01/2020",122.95
"430","10/01/2020",120.905
"431","09/01/2020",121.364
"432","08/01/2020",121.516
"433","07/01/2020",122.115
"434","06/01/2020",122.402
"435","03/01/2020",123.445
"436","02/01/2020",124.227
"437","30/12/2019",120.785
"438","27/12/2019",121.917
"439","26/12/2019",122.798
"440","23/12/2019",121.359
"441","20/12/2019",120.723
"442","19/12/2019",120.879
"443","18/12/2019",119.899
"444","17/12/2019",118.287
"445","16/12/2019",117.909
"446","13/12/2019",118.498
"447","12/12/2019",118.003
"448","11/12/2019",116.7
"449","10/12/2019",116.458
"450","09/12/2019",116.826
"451","06/12/2019",116.852
"452","05/12/2019",116.416
"453","04/12/2019",116.143
"454","03/12/2019",114.739
"455","02/12/2019",114.597
"456","29/11/2019",113.988
"457","28/11/2019",114.166
"458","27/11/2019",113.457
"459","26/11/2019",113.189
"460","25/11/2019",114.151
"461","22/11/2019",114.534
"462","21/11/2019",113.52
"463","19/11/2019",111.538
"464","18/11/2019",111.98
"465","14/11/2019",112.379
"466","13/11/2019",112.064
"467","12/11/2019",112.379
"468","11/11/2019",114.403
"469","08/11/2019",113.43
"470","07/11/2019",115.586
"471","06/11/2019",114.487
"472","05/11/2019",114.76
"473","04/11/2019",114.944
"474","01/11/2019",114.534
"475","31/10/2019",113.099
"476","30/10/2019",114.587
"477","29/10/2019",113.946
"478","28/10/2019",114.087
"479","25/10/2019",113.609
"480","24/10/2019",113.325
"481","23/10/2019",113.783
"482","22/10/2019",113.268
"483","21/10/2019",112.4
"484","18/10/2019",110.692
"485","17/10/2019",111.354
"486","16/10/2019",111.496
"487","15/10/2019",110.434
"488","14/10/2019",110.848
"489","11/10/2019",109.893
"490","10/10/2019",108.582
"491","09/10/2019",107.601
"492","08/10/2019",105.913
"493","07/10/2019",106.768
"494","04/10/2019",108.752
"495","03/10/2019",107.813
"496","02/10/2019",107.282
"497","01/10/2019",110.413
"498","30/09/2019",111.506
"499","27/09/2019",111.963
"500","26/09/2019",111.814
"501","25/09/2019",111.135
"502","24/09/2019",110.519
"503","23/09/2019",111.432
"504","20/09/2019",111.342
"505","19/09/2019",111.177
"506","18/09/2019",111.379
"507","17/09/2019",111.671
"508","16/09/2019",110.535
"509","13/09/2019",110.27
"510","12/09/2019",111.029
"511","11/09/2019",110.477
"512","10/09/2019",109.814
"513","09/09/2019",110.185
"514","06/09/2019",109.936
"515","05/09/2019",108.864
"516","04/09/2019",107.818
"517","03/09/2019",106.55
"518","02/09/2019",107.585
"519","30/08/2019",108.492
"520","29/08/2019",107.771
"521","28/08/2019",104.491
"522","27/08/2019",103.823
"523","26/08/2019",101.828
"524","23/08/2019",104.422
"525","22/08/2019",106.985
"526","21/08/2019",108.407
"527","20/08/2019",105.839
"528","19/08/2019",106.317
"529","16/08/2019",107.044
"530","15/08/2019",105.998
"531","14/08/2019",107.107
"532","13/08/2019",110.854
"533","12/08/2019",108.868
"534","09/08/2019",111.266
"535","08/08/2019",111.86
"536","07/08/2019",110.131
"537","06/08/2019",109.585
"538","05/08/2019",107.016
"539","02/08/2019",110.211
"540","01/08/2019",109.2
"541","31/07/2019",109.092
"542","30/07/2019",110.484
"543","29/07/2019",111.276
"544","26/07/2019",110.361
"545","25/07/2019",110.254
"546","24/07/2019",111.587
"547","23/07/2019",111.694
"548","22/07/2019",111.822
"549","19/07/2019",110.977
"550","18/07/2019",112.77
"551","17/07/2019",111.683
"552","16/07/2019",111.699
"553","15/07/2019",112.079
"554","12/07/2019",111.844
"555","11/07/2019",113.113
"556","10/07/2019",113.728
"557","08/07/2019",112.684
"558","05/07/2019",112.261
"559","04/07/2019",111.437
"560","03/07/2019",109.922
"561","02/07/2019",108.354
"562","01/07/2019",109.36
"563","28/06/2019",108.52
"564","27/06/2019",108.637
"565","26/06/2019",108.514
"566","25/06/2019",107.599
"567","24/06/2019",110.249
"568","21/06/2019",110.184
"569","19/06/2019",108.557
"570","18/06/2019",107.594
"571","17/06/2019",105.554
"572","14/06/2019",105.613
"573","13/06/2019",107.165
"574","12/06/2019",106.512
"575","11/06/2019",107.133
"576","10/06/2019",105.133
"577","07/06/2019",105.944
"578","06/06/2019",104.755
"579","05/06/2019",104.214
"580","04/06/2019",105.636
"581","03/06/2019",105.133
"582","31/05/2019",104.982
"583","30/05/2019",105.728
"584","29/05/2019",104.366
"585","28/05/2019",104.506
"586","27/05/2019",102.977
"587","24/05/2019",101.236
"588","23/05/2019",102.052
"589","22/05/2019",102.641
"590","21/05/2019",102.674
"591","20/05/2019",100.225
"592","17/05/2019",98.042
"593","16/05/2019",97.717
"594","15/05/2019",98.939
"595","14/05/2019",99.75
"596","13/05/2019",98.431
"597","10/05/2019",101.95
"598","09/05/2019",102.917
"599","08/05/2019",103.782
"600","07/05/2019",103.014
"601","06/05/2019",102.998
"602","03/05/2019",104.398
"603","02/05/2019",103.89
"604","30/04/2019",104.917
"605","29/04/2019",104.652
"606","26/04/2019",104.728
"607","25/04/2019",104.971
"608","24/04/2019",103.566
"609","23/04/2019",104.593
"610","22/04/2019",103.074
"611","18/04/2019",102.782
"612","17/04/2019",101.966
"613","16/04/2019",103.025
"614","15/04/2019",101.444
"615","12/04/2019",101.509
"616","11/04/2019",103.712
"617","10/04/2019",104.585
"618","09/04/2019",105.125
"619","08/04/2019",106.319
"620","05/04/2019",106.242
"621","04/04/2019",105.348
"622","03/04/2019",103.603
"623","02/04/2019",104.334
"624","01/04/2019",104.825
"625","29/03/2019",103.952
"626","28/03/2019",103.276
"627","27/03/2019",98.696
"628","26/03/2019",103.767
"629","25/03/2019",102.535
"630","22/03/2019",102.049
"631","21/03/2019",105.953
"632","20/03/2019",106.684
"633","19/03/2019",109.045
"634","18/03/2019",109.601
"635","15/03/2019",108.216
"636","14/03/2019",108.02
"637","13/03/2019",108.145
"638","12/03/2019",107.317
"639","11/03/2019",107.529
"640","08/03/2019",104.694
"641","07/03/2019",103.843
"642","06/03/2019",103.232
"643","01/03/2019",103.761
"644","28/02/2019",104.639
"645","27/02/2019",106.831
"646","26/02/2019",107.093
"647","25/02/2019",106.875
"648","22/02/2019",107.551
"649","21/02/2019",106.657
"650","20/02/2019",106.395
"651","19/02/2019",107.126
"652","18/02/2019",106.21
"653","15/02/2019",107.126
"654","14/02/2019",107.96
"655","13/02/2019",105.697
"656","12/02/2019",105.763
"657","11/02/2019",103.928
"658","08/02/2019",104.782
"659","07/02/2019",104.087
"660","06/02/2019",104.379
"661","05/02/2019",108.512
"662","04/02/2019",108.397
"663","01/02/2019",108.06
"664","31/01/2019",107.675
"665","30/01/2019",107.069
"666","29/01/2019",105.487
"667","28/01/2019",105.366
"668","24/01/2019",107.928
"669","23/01/2019",106.644
"670","22/01/2019",104.809
"671","21/01/2019",106.413
"672","18/01/2019",106.121
"673","17/01/2019",105.57
"674","16/01/2019",104.479
"675","15/01/2019",104.209
"676","14/01/2019",104.479
"677","11/01/2019",103.652
"678","10/01/2019",103.966
"679","09/01/2019",103.735
"680","08/01/2019",102.109
"681","07/01/2019",101.668
"682","04/01/2019",101.911
"683","03/01/2019",101.15
"684","02/01/2019",100.941
"685","28/12/2018",97.188
"686","27/12/2018",94.912
"687","26/12/2018",94.516
"688","21/12/2018",94.78
"689","20/12/2018",95.111
"690","19/12/2018",94.89
"691","18/12/2018",96.323
"692","17/12/2018",96.048
"693","14/12/2018",97.111
"694","13/12/2018",97.602
"695","12/12/2018",96.891
"696","11/12/2018",96.158
"697","10/12/2018",95.347
"698","07/12/2018",97.707
"699","06/12/2018",98.778
"700","05/12/2018",98.928
"701","04/12/2018",98.378
"702","03/12/2018",99.65
"703","30/11/2018",99.483
"704","29/11/2018",99.594
"705","28/11/2018",99.095
"706","27/11/2018",97.651
"707","26/11/2018",95.064
"708","23/11/2018",95.858
"709","22/11/2018",97.379
"710","21/11/2018",97.224
"711","19/11/2018",97.968
"712","16/11/2018",98.628
"713","14/11/2018",95.708
"714","13/11/2018",94.787
"715","12/11/2018",95.497
"716","09/11/2018",95.764
"717","08/11/2018",95.497
"718","07/11/2018",98.151
"719","06/11/2018",99.106
"720","05/11/2018",99.922
"721","01/11/2018",98.223
"722","31/10/2018",97.374
"723","30/10/2018",97.24
"724","29/10/2018",93.321
"725","26/10/2018",96.247
"726","25/10/2018",93.549
"727","24/10/2018",92.938
"728","23/10/2018",95.819
"729","22/10/2018",95.642
"730","19/10/2018",94.465
"731","18/10/2018",93.782
"732","17/10/2018",96.041
"733","16/10/2018",96.13
"734","15/10/2018",93.024
"735","11/10/2018",93.455
"736","10/10/2018",93.511
"737","09/10/2018",96.169
"738","08/10/2018",96.6
"739","05/10/2018",92.672
"740","04/10/2018",93.063
"741","03/10/2018",93.741
"742","02/10/2018",91.698
"743","01/10/2018",88.407
"744","28/09/2018",88.799
"745","27/09/2018",89.432
"746","26/09/2018",88.105
"747","25/09/2018",88.385
"748","24/09/2018",87.562
"749","21/09/2018",88.799
"750","20/09/2018",87.859
"751","19/09/2018",87.602
"752","18/09/2018",87.378
"753","17/09/2018",86.292
"754","14/09/2018",84.837
"755","13/09/2018",83.684
"756","12/09/2018",84.199
"757","11/09/2018",84.222
"758","10/09/2018",86.068
"759","06/09/2018",86.628
"760","05/09/2018",84.21
"761","04/09/2018",83.897
"762","03/09/2018",85.744
"763","31/08/2018",86.449
"764","30/08/2018",85.956
"765","29/08/2018",88.665
"766","28/08/2018",87.747
"767","27/08/2018",87.445
"768","24/08/2018",86.18
"769","23/08/2018",85.386
"770","22/08/2018",86.964
"771","21/08/2018",84.311
"772","20/08/2018",86.191
"773","17/08/2018",85.621
"774","16/08/2018",86.785
"775","15/08/2018",86.768
"776","14/08/2018",88.581
"777","13/08/2018",87.87
"778","10/08/2018",86.255
"779","09/08/2018",88.829
"780","08/08/2018",89.027
"781","07/08/2018",91.087
"782","06/08/2018",91.511
"783","03/08/2018",92.053
"784","02/08/2018",90.263
"785","01/08/2018",89.732
"786","31/07/2018",89.507
"787","30/07/2018",90.76
"788","27/07/2018",90.596
"789","26/07/2018",90.066
"790","25/07/2018",90.85
"791","24/07/2018",89.563
"792","23/07/2018",88.146
"793","20/07/2018",88.75
"794","19/07/2018",89.134
"795","18/07/2018",87.373
"796","17/07/2018",88.558
"797","16/07/2018",87.141
"798","13/07/2018",86.944
"799","12/07/2018",86.368
"800","11/07/2018",84.663
"801","10/07/2018",84.127
"802","06/07/2018",85.346
"803","05/07/2018",84.471
"804","04/07/2018",85.081
"805","03/07/2018",83.658
"806","02/07/2018",83.105
"807","29/06/2018",82.253
"808","28/06/2018",81.575
"809","27/06/2018",79.944
"810","26/06/2018",81.005
"811","25/06/2018",81.288
"812","22/06/2018",80.136
"813","21/06/2018",79.368
"814","20/06/2018",82.366
"815","19/06/2018",81.214
"816","18/06/2018",79.487
"817","15/06/2018",80.305
"818","14/06/2018",81.367
"819","13/06/2018",82.366
"820","12/06/2018",83.433
"821","11/06/2018",82.551
"822","08/06/2018",83.387
"823","07/06/2018",84.721
"824","06/06/2018",86.559
"825","05/06/2018",87.767
"826","04/06/2018",90.035
"827","01/06/2018",89.004
"828","30/05/2018",88.431
"829","29/05/2018",87.04
"830","28/05/2018",86.118
"831","25/05/2018",90.653
"832","24/05/2018",91.936
"833","23/05/2018",93.104
"834","22/05/2018",95.005
"835","21/05/2018",94.249
"836","18/05/2018",95.159
"837","17/05/2018",95.921
"838","16/05/2018",99.385
"839","15/05/2018",98.234
"840","14/05/2018",98.314
"841","11/05/2018",98.349
"842","10/05/2018",98.83
"843","09/05/2018",97.055
"844","08/05/2018",95.932
"845","07/05/2018",94.993
"846","04/05/2018",95.726
"847","03/05/2018",95.852
"848","02/05/2018",97.318
"849","30/04/2018",98.79
"850","27/04/2018",99.631
"851","26/04/2018",99.923
"852","25/04/2018",98.469
"853","24/04/2018",98.606
"854","23/04/2018",98.944
"855","20/04/2018",99.168
"856","19/04/2018",99.007
"857","18/04/2018",98.732
"858","17/04/2018",97.146
"859","16/04/2018",95.46
"860","13/04/2018",97.164
"861","12/04/2018",98.7
"862","11/04/2018",98.943
"863","10/04/2018",97.961
"864","09/04/2018",96.355
"865","06/04/2018",98.105
"866","05/04/2018",98.642
"867","04/04/2018",98.192
"868","03/04/2018",97.631
"869","02/04/2018",98.18
"870","29/03/2018",99.075
"871","28/03/2018",97.152
"872","27/03/2018",96.84
"873","26/03/2018",99.058
"874","23/03/2018",98.192
"875","22/03/2018",97.73
"876","21/03/2018",98.798
"877","20/03/2018",97.793
"878","19/03/2018",97.689
"879","16/03/2018",98.157
"880","15/03/2018",99
"881","14/03/2018",99.901
"882","13/03/2018",100.502
"883","12/03/2018",100.964
"884","09/03/2018",100.421
"885","08/03/2018",98.908
"886","07/03/2018",99.416
"887","06/03/2018",99.468
"888","05/03/2018",99.948
"889","02/03/2018",99.936
"890","01/03/2018",99.555
"891","28/02/2018",99.387
"892","27/02/2018",101.149
"893","26/02/2018",102.229
"894","23/02/2018",101.842
"895","22/02/2018",101.184
"896","21/02/2018",100.034
"897","20/02/2018",100.167
"898","19/02/2018",98.931
"899","16/02/2018",98.758
"900","15/02/2018",98.336
"901","14/02/2018",97.528
"902","09/02/2018",94.726
"903","08/02/2018",95.171
"904","07/02/2018",97.161
"905","06/02/2018",98.73
"906","05/02/2018",95.592
"907","02/02/2018",98.642
"908","01/02/2018",100.246
"909","31/01/2018",99.772
"910","30/01/2018",99.175
"911","29/01/2018",99.262
"912","26/01/2018",100.427
"913","24/01/2018",98.39
"914","23/01/2018",94.627
"915","22/01/2018",95.856
"916","19/01/2018",95.376
"917","18/01/2018",95.054
"918","17/01/2018",95.505
"919","16/01/2018",93.877
"920","15/01/2018",93.895
"921","12/01/2018",93.286
"922","11/01/2018",93.421
"923","10/01/2018",92.127
"924","09/01/2018",92.765
"925","08/01/2018",93.444
"926","05/01/2018",93.222
"927","04/01/2018",92.654
"928","03/01/2018",91.776
"929","02/01/2018",91.659
"930","28/12/2017",89.862
"931","27/12/2017",89.675
"932","26/12/2017",89.494
"933","22/12/2017",88.943
"934","21/12/2017",88.803
"935","20/12/2017",86.719
"936","19/12/2017",85.748
"937","18/12/2017",86.508
"938","15/12/2017",85.426
"939","14/12/2017",85.537
"940","13/12/2017",86.04
"941","12/12/2017",87.738
"942","11/12/2017",86.249
"943","08/12/2017",85.817
"944","07/12/2017",85.593
"945","06/12/2017",86.757
"946","05/12/2017",85.67
"947","04/12/2017",86.284
"948","01/12/2017",85.475
"949","30/11/2017",84.967
"950","29/11/2017",86.012
"951","28/11/2017",88.033
"952","27/11/2017",87.856
"953","24/11/2017",87.696
"954","23/11/2017",88.258
"955","22/11/2017",88.411
"956","21/11/2017",88.323
"957","17/11/2017",87.082
"958","16/11/2017",86.024
"959","14/11/2017",84.281
"960","13/11/2017",86.136
"961","10/11/2017",85.965
"962","09/11/2017",86.715
"963","08/11/2017",88.447
"964","07/11/2017",86.119
"965","06/11/2017",88.417
"966","03/11/2017",87.95
"967","01/11/2017",87.72
"968","31/10/2017",88.328
"969","30/10/2017",89.043
"970","27/10/2017",90.414
"971","26/10/2017",90.603
"972","25/10/2017",91.395
"973","24/10/2017",91.105
"974","23/10/2017",89.947
"975","20/10/2017",90.987
"976","19/10/2017",91.034
"977","18/10/2017",91.501
"978","17/10/2017",90.822
"979","16/10/2017",91.501
"980","13/10/2017",91.745
"981","11/10/2017",91.477
"982","10/10/2017",91.56
"983","09/10/2017",90.714
"984","06/10/2017",90.738
"985","05/10/2017",91.31
"986","04/10/2017",91.525
"987","03/10/2017",91.864
"988","02/10/2017",88.82
"989","29/09/2017",88.88
"990","28/09/2017",87.694
"991","27/09/2017",88.165
"992","26/09/2017",88.784
"993","25/09/2017",88.957
"994","22/09/2017",90.101
"995","21/09/2017",90.548
"996","20/09/2017",91.084
